T,C,F
1627189963.404944,12.937,55.2866
1627189974.3149447,12.062,53.711600000000004
1627189985.1946418,11.875,53.375
1627189996.0742683,12.0,53.6
1627190006.9585347,12.25,54.05
1627190017.8346105,12.375,54.275000000000006
1627190028.7139688,12.437,54.3866
1627190039.5946095,12.375,54.275000000000006
1627190050.4761193,12.5,54.5
1627190061.356082,12.562,54.611599999999996
1627190072.2356105,12.625,54.725
1627190083.1140642,12.687,54.836600000000004
1627190093.994953,12.75,54.95
1627190104.873954,12.75,54.95
1627190115.7549407,12.75,54.95
1627190126.674552,12.875,55.175
1627190137.6044965,12.937,55.2866
1627190148.4746284,13.062,55.5116
1627190159.3552802,13.125,55.625
1627190170.2346256,13.125,55.625
1627190181.1155527,13.187,55.736599999999996
1627190192.044874,13.25,55.85
1627190202.9545634,13.25,55.85
1627190213.835394,13.312,55.961600000000004
1627190224.7139077,13.375,56.075
1627190235.5952024,13.437,56.1866
1627190246.4749317,13.5,56.3
1627190257.35393,13.5,56.3
1627190268.2359102,13.562,56.4116
1627190279.1158466,13.625,56.525000000000006
1627190289.996246,13.625,56.525000000000006
1627190300.8750386,13.687,56.6366
1627190311.753876,13.75,56.75
1627190322.6344697,13.812,56.861599999999996
1627190333.5151768,13.812,56.861599999999996
1627190344.393892,13.875,56.975
1627190355.2844818,13.937,57.086600000000004
1627190366.1948676,14.0,57.2
1627190377.1138952,14.062,57.3116
1627190387.9946616,14.062,57.3116
1627190398.8756652,14.125,57.425
1627190409.7543228,14.187,57.5366
1627190420.6445882,14.187,57.5366
1627190431.514943,14.25,57.650000000000006
1627190442.3962383,14.25,57.650000000000006
1627190453.2754602,14.312,57.7616
1627190464.1650581,14.312,57.7616
1627190475.0347865,14.375,57.875
1627190485.9142544,14.437,57.986599999999996
1627190496.793903,14.437,57.986599999999996
1627190507.684757,14.5,58.1
1627190518.55522,14.562,58.211600000000004
1627190529.4360478,14.562,58.211600000000004
1627190540.3643782,14.625,58.325
1627190551.2739737,14.687,58.4366
